Nome: CORURIPE
Codigo Estacao: A355
Latitude: -10.1286111
Longitude: -36.28638888
Altitude: 82.39
Situacao: Operante
Data Inicial: 2025-01-01
Data Final: 2025-02-24
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);
2025-01-01;null;31,9;24,7;
2025-01-02;null;32;23,7;
2025-01-03;null;31,8;23,3;
2025-01-04;null;32,3;23,4;
2025-01-05;null;32,2;25,9;
2025-01-06;null;30,9;26;
2025-01-07;null;32,4;23,6;
2025-01-08;null;32,7;22,9;
2025-01-09;null;32,7;23,7;
2025-01-10;null;33;25,2;
2025-01-11;null;30,4;24,5;
2025-01-12;null;30,4;22;
2025-01-13;null;31,2;23,1;
2025-01-14;null;31,9;24,1;
2025-01-15;null;31,9;24,6;
2025-01-16;null;32,1;24;
2025-01-17;null;31;23,9;
2025-01-18;null;32,3;23,4;
2025-01-19;null;32;24,2;
2025-01-20;null;33,4;23,9;
2025-01-21;null;33,5;24,3;
2025-01-22;null;32,4;24,9;
2025-01-23;null;33,1;23,9;
2025-01-24;null;32;23,7;
2025-01-25;null;32,4;24,1;
2025-01-26;null;31,8;24,4;
2025-01-27;null;31,9;24,4;
2025-01-28;null;32,4;23,7;
2025-01-29;null;31,8;23,6;
2025-01-30;null;32,2;24,7;
2025-01-31;null;33;23,8;
2025-02-01;null;32,6;23,6;
2025-02-02;null;32,2;24;
2025-02-03;null;31,5;24,4;
2025-02-04;null;32,3;25,6;
2025-02-05;null;26,9;23,7;
2025-02-06;null;28,7;23;
2025-02-07;null;30,3;24,1;
2025-02-08;null;30,8;22,5;
2025-02-09;null;31;23,3;
2025-02-10;null;30,4;23,7;
2025-02-11;null;31;24,2;
2025-02-12;null;31,2;23,8;
2025-02-13;null;31,4;23;
2025-02-14;null;31,6;23,3;
2025-02-15;null;31,8;23,8;
2025-02-16;null;30,6;24,2;
2025-02-17;null;31,2;24,2;
2025-02-18;null;31,5;23,4;
2025-02-19;null;32,2;24,3;
2025-02-20;null;32,6;24,5;
2025-02-21;null;31,6;25;
2025-02-22;null;31,2;23,4;
2025-02-23;null;31,6;23,6;
2025-02-24;null;null;23,7;

