Nome: PIRANHAS
Codigo Estacao: A371
Latitude: -9.62222221
Longitude: -37.76722221
Altitude: 187
Situacao: Operante
Data Inicial: 2025-01-01
Data Final: 2025-02-24
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);
2025-01-01;0;36,9;25,2;
2025-01-02;0;37,6;24,6;
2025-01-03;null;37,1;23,8;
2025-01-04;0;38,7;23,4;
2025-01-05;0;38,2;25,1;
2025-01-06;0;37;24,5;
2025-01-07;0;37,8;23,5;
2025-01-08;0;37,6;23,1;
2025-01-09;0;38;24,7;
2025-01-10;0;34,3;25,8;
2025-01-11;0;34,4;24,9;
2025-01-12;null;29,4;23,2;
2025-01-13;2,2;34,6;23,4;
2025-01-14;0;34,7;24,5;
2025-01-15;30,6;28,8;23,7;
2025-01-16;5;34,9;24;
2025-01-17;0;34,3;22,6;
2025-01-18;0;33,8;22,2;
2025-01-19;0;35,2;22,9;
2025-01-20;0;35,6;23,2;
2025-01-21;1,4;36;22,7;
2025-01-22;null;36;23,5;
2025-01-23;null;35,6;23;
2025-01-24;0;35,6;22,5;
2025-01-25;0;35,9;22,3;
2025-01-26;0;36,8;24,1;
2025-01-27;null;36,2;23,8;
2025-01-28;null;36;24,2;
2025-01-29;0;36,7;24,2;
2025-01-30;0;37,6;23,8;
2025-01-31;null;35,7;23;
2025-02-01;0;37;22,3;
2025-02-02;0;36,6;22,9;
2025-02-03;0;36,7;24,6;
2025-02-04;0;34,8;23;
2025-02-05;null;30,3;22,7;
2025-02-06;,6;29,7;22,4;
2025-02-07;1;33,9;22,8;
2025-02-08;1,4;34,3;21,4;
2025-02-09;,2;34,7;22,5;
2025-02-10;0;32,8;24;
2025-02-11;1,6;35,6;23,4;
2025-02-12;0;35,9;22,4;
2025-02-13;0;35,9;21,8;
2025-02-14;0;35,6;22,4;
2025-02-15;0;35,9;22,2;
2025-02-16;null;33,6;22,7;
2025-02-17;1,2;35,7;22,7;
2025-02-18;,2;36,7;22,3;
2025-02-19;0;36,4;23;
2025-02-20;0;37,5;23,6;
2025-02-21;0;36,1;23,7;
2025-02-22;null;36,7;22,4;
2025-02-23;1,2;36,7;23,5;
2025-02-24;0;null;22,6;

